¿œΩ√,¡ˆ¡°,¿œ√÷¿˙√º∞®ø¬µµ(°∆C),¿œ√÷∞Ì±‚ø¬(°∆C),¿œ∆Ú±’±‚ø¬(°∆C),¿œ√÷¿˙±‚ø¬(°∆C),¿œ∆Ú±’ªÛ¥ÎΩ¿µµ(%),¿œ∆Ú±’«≥º”(m/s),¿œ√÷¥Î«≥º”(m/s),«—∆ƒ∆Ø∫∏(O/X),«—∆ƒøµ«‚øπ∫∏(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(03h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(06h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(09h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(12h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(15h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(18h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(21h)(¥‹∞Ë),µø∆ƒ∞°¥…¡ˆºˆ(24h)(¥‹∞Ë)
2023-02-01,∫œ∞≠∏™(104),-3.2,8.3,4.3,-0.7,36.5,2.4,7.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,µø«ÿ(106),-0.5,10.9,6.3,1.8,33.6,2.7,6.6,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,º≠øÔ(108),-7.1,6,0.9,-3,68.4,3.2,6.2,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿Œ√µ(112),-8.4,4.4,-0.4,-2.8,70.3,3.5,8.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,ø¯¡÷(114),-1.7,6.7,3,-2.5,56.4,1.6,4.1,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,øÔ∏™µµ(115),-4.4,8.1,4.4,1.2,64.6,6.3,13.5,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,ºˆø¯(119),-7,5.6,1.2,-2.2,64.4,2.8,5.3,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,øµø˘(121),-3.7,6.9,3.2,-3.4,50.4,2,5.8,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,√Ê¡÷(127),-4.4,6.7,1.7,-5.2,61.8,1.9,6.2,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,º≠ªÍ(129),-5.8,4.7,1.5,-2.4,66.4,2.7,7.4,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,øÔ¡¯(130),-4.6,11.4,4.6,-1.6,45.3,2.8,6.3,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,√ª¡÷(131),-4.6,6.4,2.6,-2.1,54.8,1.8,5.2,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¥Î¿¸(133),-6.6,8.3,3.1,-3.3,53.9,3,7,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,√ﬂ«≥∑…(135),-8.9,8.3,3.5,-3.3,53,4.2,8.6,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,æ»µø(136),-6.5,9.8,1.8,-3.3,45.1,2.3,8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,ªÛ¡÷(137),-4.7,9,4,-2.3,49.1,2.9,7.2,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∆˜«◊(138),-0.9,12.9,6.2,1.7,41.5,2.7,6.5,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,±∫ªÍ(140),-6,6.9,2.7,-2.6,67,3.3,9.7,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¥Î±∏(143),-3.4,13.6,3.8,-1.4,43.8,2.7,8.3,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿¸¡÷(146),-5.4,9.2,4,-1.7,61.4,2.6,6.3,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,øÔªÍ(152),-2.1,14.6,7.5,1.6,42.1,2.5,5.7,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,√¢ø¯(155),-1.3,14.5,6,1.3,45.8,1.1,3.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,±§¡÷(156),-4,10.7,3.9,-0.8,58.1,1.4,3.6,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∫ŒªÍ(159),-1.9,14.7,8.6,2.8,48,4.6,8.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,≈Îøµ(162),-1.1,14.3,7.5,3.5,53.4,3,7.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∏Ò∆˜(165),-6,8.5,3.9,0.6,72.5,6,15.6,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,ø©ºˆ(168),-4.3,13.5,6.5,1.7,53,5.5,13.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,»ÊªÍµµ(169),-5.5,9.8,5.4,1.9,76.3,8.3,16,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,øœµµ(170),-2.5,12.1,5.4,1.4,68.1,2.4,6.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∞Ì√¢(172),-6.1,7.7,2.8,-1.4,65.6,3.6,8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¡¶¡÷(184),0.8,13.5,8.8,4.3,68.5,3.5,6.9,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¡¯¡÷(192),-2.4,15.1,4.8,-2.5,47.1,1.4,4.9,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,æÁ∆Ú(202),-4.8,6.8,2,-1.7,57.6,2.3,6,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿Ã√µ(203),-4.6,6.8,2.6,-2.6,60.9,2,4.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿Œ¡¶(211),-2.4,5.5,-0.2,-6,61.8,1.4,5.7,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,∫∏≈Î
2023-02-01,»´√µ(212),-2.6,5.6,0.4,-4.1,62.5,1.3,4.6,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,≈¬πÈ(216),-9.4,3.5,-0.5,-6.8,49.3,1.4,4.7,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,∫∏≈Î,∫∏≈Î
2023-02-01,¡§º±±∫(217),-3.9,5.7,1.6,-5.1,39,3.7,11.4,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,∫∏≈Î
2023-02-01,¡¶√µ(221),-5,5.9,1.5,-5.1,60.8,2.4,6.3,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∫∏¿∫(226),-6.8,6.7,1.3,-4.5,66,2.1,5.9,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,√µæ»(232),-4.8,5.9,1.3,-2.8,66.1,1.6,4.2,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∫∏∑…(235),-5.7,6.6,2.5,-1.8,65.9,1.5,5.5,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∫Œø©(236),-4.7,8.4,1.6,-1.8,64.6,1.7,4.7,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,±›ªÍ(238),-4.6,8.6,3,-3.6,57.6,2,5,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,ºº¡æ(239),-1.1,,,,,,5.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,∫Œæ»(243),-3.1,7.8,3.9,-0.7,70,1.7,4.8,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿”Ω«(244),-4.3,8.5,1.7,-2.5,65.6,1.5,5.6,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¡§¿æ(245),-5.9,7.2,3.4,-1.8,66.3,2.5,5.4,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,≥≤ø¯(247),-4,9.9,2.1,-2,61.4,1.6,5.3,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,¿Âºˆ(248),-6.8,7.7,3.4,-3.3,57.3,3.1,7.2,¡÷¿«∫∏, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,∫∏≈Î
2023-02-01,øµ±§±∫(252),-5.2,8.1,3.2,-0.7,70,2.7,8.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,±Ë«ÿΩ√(253),-1.2,15.1,6.9,1.5,45.4,1.8,7,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
2023-02-01,º¯√¢±∫(254),-5.5,9.3,1.8,-1.9,64.9,2.7,8.1,X, ,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω,≥∑¿Ω
